iter	Passed	Remaining
0	66	66073
1	79	39486
2	91	30475
3	104	26058
4	115	22895
5	130	21540
6	144	20501
7	157	19505
8	170	18735
9	182	18116
10	195	17590
11	208	17193
12	221	16836
13	234	16527
14	248	16339
15	261	16060
16	274	15854
17	287	15703
18	300	15514
19	313	15358
20	327	15288
21	340	15148
22	354	15059
23	366	14886
24	379	14790
25	395	14805
26	408	14715
27	422	14656
28	435	14586
29	449	14539
30	464	14508
31	476	14427
32	491	14392
33	504	14344
34	519	14314
35	533	14298
36	550	14330
37	565	14321
38	580	14308
39	594	14274
40	608	14239
41	622	14201
42	637	14198
43	653	14193
44	667	14173
45	682	14152
46	697	14135
47	711	14114
48	725	14089
49	740	14062
50	754	14039
51	769	14036
52	784	14020
53	799	14003
54	814	13995
55	828	13961
56	842	13934
57	857	13924
58	871	13901
59	885	13879
60	902	13888
61	916	13870
62	932	13872
63	949	13883
64	966	13903
65	983	13923
66	1001	13950
67	1021	14003
68	1039	14032
69	1056	14033
70	1074	14059
71	1092	14086
72	1109	14093
73	1128	14124
74	1144	14119
75	1163	14149
76	1179	14139
77	1195	14133
78	1210	14108
79	1224	14076
80	1238	14049
81	1250	14005
82	1266	13995
83	1279	13957
84	1292	13916
85	1305	13878
86	1318	13832
87	1331	13797
88	1344	13758
89	1357	13723
90	1371	13698
91	1386	13683
92	1399	13653
93	1412	13614
94	1422	13555
95	1436	13528
96	1449	13493
97	1462	13464
98	1475	13431
99	1489	13403
100	1503	13386
101	1516	13355
102	1529	13319
103	1544	13307
104	1557	13276
105	1570	13247
